fixed acidity,citric acid,residual sugar,free sulfur dioxide,sulphates,alcohol,quality
11.9,0.49,2.7,12,0.61,10.3,5
11.9,0.49,2.7,12,0.61,10.3,5
10.3,0.24,2.1,15,0.66,12.8,6
10,0.24,2.7,13,0.56,10,6
9.1,0.24,2.1,1,0.87,10.3,6
9.9,0.24,2.4,6,0.57,9.4,5
8.1,0.24,2.1,5,0.77,10.7,6
12.9,0.49,5.8,5,0.66,12,7
11.2,0.74,5.15,5,0.62,11.2,5
9.2,0.24,3.3,20,0.67,9.6,5
9.5,0.49,6.3,5,0.73,11,6
9.3,0.24,2.1,5,0.59,9.9,5
11.2,0.24,2.5,16,0.72,11,6
14.3,0.74,1.8,6,0.79,8.4,6
9.1,0.49,2.6,38,0.59,9.1,5
7.5,0.24,2,10,0.78,9.5,6
10.6,0.49,2.5,6,0.86,10.7,6
12.4,0.49,2.6,27,0.75,10.4,6
9,0.49,1.9,6,0.61,9.4,6
6.8,0.01,2.1,9,0.56,9.5,6
9.4,0.24,2.8,14,0.73,10,6
9.5,0.24,2.7,14,0.74,10,6
5,0.24,1.6,32,0.62,11.5,5
15.5,0.49,4.2,10,0.74,11.1,5
15.5,0.49,4.2,10,0.74,11.1,5
10.9,0.49,4.6,10,0.56,11.7,6
15.6,0.49,4.2,10,0.74,11.1,5
10.9,0.49,4.6,10,0.56,11.7,6
13,0.49,4.3,6,0.68,12.7,6
12.7,0.49,2.8,5,0.57,11.4,5
9,0.49,2.4,26,0.58,9.2,5
9,0.49,2.9,41,0.61,9.2,5
7.6,0.49,2.7,25,0.61,10.1,6
13,0.49,4.3,6,0.68,12.7,6
12.7,0.49,2.8,5,0.57,11.4,5
8.7,0.24,2.5,5,0.6,9,6
8.7,0.24,2.5,5,0.6,9,6
9.8,0.49,2.6,5,0.79,10.7,6
6.2,0.24,2.2,19,0.57,11.7,6
11.5,0.49,3.3,10,0.91,11,6
6.2,0.24,2.2,19,0.57,11.7,6
10.2,0.49,2.4,10,0.61,10.4,5
10.5,0.49,2.1,14,0.56,9.6,4
10.6,0.49,3.2,20,0.7,10,6
12.3,0.49,3.1,28,0.8,10.2,6
9.9,0.24,2.3,6,0.52,10,4
8.8,0.49,2.8,18,0.6,9.5,5
8.8,0.49,2.9,17,0.6,9.8,5
10.6,0.49,2.2,18,0.51,9.8,6
12.3,0.49,2.2,5,0.44,9.6,5
12.3,0.49,2.2,5,0.44,9.6,5
11.7,0.49,2.2,5,0.43,9.2,5
12,0.49,1.9,10,0.66,9.9,7
11.8,0.49,3.4,54,0.76,10.7,7
7.6,0.24,2.4,8,0.66,9.6,6
11.1,0.49,2.7,16,1.02,10.6,7
7.3,0.24,1.9,18,0.59,9.3,5
5,0.24,2,19,0.74,14,8
10.2,0.49,2.6,5,0.74,10.5,7
9,0.49,2.6,21,0.57,9.7,5
6.6,0.49,1.7,23,0.5,11.5,6
9,0.49,2.6,21,0.57,9.7,5
9.9,0.58,3.5,9,0.58,9,5
7.9,0.17,2.6,20,0.53,9.5,5
8.9,0.41,7.9,30,0.57,9.3,5
12.4,0.51,2,6,0.6,9.3,6
11.9,0.58,1.9,5,0.63,10,6
8.5,0.18,2.1,5,0.48,9.8,6
12.7,0.45,2.3,11,0.7,9.3,6
8.2,0.27,2.1,7,0.47,10,4
13.2,0.52,2.2,12,0.56,9,6
7.7,0,2.6,6,0.52,9.3,5
13.2,0.52,2.2,12,0.56,9,6
8.3,0.13,2.9,14,0.62,9.1,6
8.3,0.13,2.6,6,0.59,9.2,6
9.4,0.48,4.6,10,0.79,12.2,7
8.8,0.41,3.3,26,0.53,10.5,6
10.1,0.37,5.1,11,0.64,10.4,6
6.3,0.19,3.2,15,0.52,12.7,6
8.8,0.54,2.5,25,0.54,9.2,5
13.2,0.55,2.7,5,0.54,9.4,5
7.5,0,2.4,18,0.6,10,6
8.2,0.38,1.5,10,0.74,9.8,5
9.2,0.18,2.2,10,1.36,10.2,6
9.6,0.5,2.3,28,0.57,9.7,5
9.6,0.5,2.3,28,0.57,9.7,5
11.5,0.51,2.2,14,0.93,9.8,6
11.4,0.5,2.7,4,0.7,10.2,5
11.3,0.41,2.3,6,0.8,9.3,5
8.3,0.24,3.4,16,0.61,9.4,5
8.2,0.23,3.4,14,0.62,9.4,5
10,0.22,1.9,9,0.55,9.5,5
7.9,0.25,2.9,21,0.96,12.1,6
6.8,0,5.6,21,0.72,10.2,5
6.8,0,5.6,21,0.72,10.2,5
8.8,0.29,2.2,5,0.49,9.1,5
8.8,0.29,2.2,5,0.49,9.1,5
8.7,0.26,2.5,7,0.6,9.3,6
7.6,0.23,2.3,20,0.61,9.3,5
8.7,0.26,2.5,7,0.6,9.3,6
10.4,0.54,2.7,5,0.63,9.5,5
7.6,0.14,3,21,0.57,10.5,6
10.1,0.22,3.4,11,0.64,11.3,4
7.9,0.21,1.9,46,0.58,9.5,5
8.7,0,1.4,24,0.55,9.7,5
9.6,0.28,2.4,30,0.53,9.4,5
9.5,0.27,2.3,31,0.53,9.4,5
7.7,0.12,2.2,7,0.65,10.2,7
8.9,0.35,1.9,25,1.36,10.3,6
9.9,0.45,2.3,16,0.62,9.4,5
9.5,0.44,2.3,21,0.63,9.5,5
9.9,0.45,2.3,16,0.62,9.4,5
9.5,0.44,2.3,21,0.63,9.5,5
9.9,0.45,2.3,16,0.62,9.4,5
7.8,0.1,6,5,0.69,10.1,7
7.3,0.05,3.6,6,0.63,10.1,5
8.3,0.01,2.2,5,0.58,11,4
8.7,0.3,2.8,10,0.67,11.2,7
6.7,0.27,8.6,24,0.57,11.3,6
10.7,0.39,2.2,8,0.5,9.6,5
9.8,0.25,2.5,35,0.67,11.2,5
15.9,0.65,7.5,22,0.84,14.9,5
9.4,0.59,2.8,9,0.54,12,6
8.6,0.47,2.4,7,0.46,9.5,5
9.7,0.17,2.9,20,0.61,9.4,5
10.7,0.39,2.2,8,0.5,9.6,5
12,0.59,1.4,23,0.68,10.5,7
7.2,0.07,1.4,5,0.81,9.6,6
7.1,0.02,4.4,5,0.57,11,4
7.2,0.07,1.4,5,0.81,9.6,6
7.5,0.31,1.6,15,0.64,9,5
7.2,0.06,1.6,9,0.7,9.6,6
10.1,0.46,1.8,5,0.79,10.2,6
12.1,0.52,2,15,0.66,10.2,5
9.4,0.14,2,25,0.56,9.7,5
8.3,0.36,1.8,6,0.6,9.5,6
11.3,0.45,2,6,0.66,9.2,6
10,0.43,2.3,15,0.57,11,5
11.3,0.45,2,6,0.66,9.2,6
6.9,0.24,2.5,30,0.58,10,5
8.2,0.21,1.7,5,0.52,9.5,5
9.8,0.34,2,32,0.53,9.5,5
8.2,0.21,1.7,5,0.52,9.5,5
10.8,0.41,2.2,7,0.67,9.3,6
9.3,0.39,2.2,12,0.65,10.2,5
10.8,0.41,2.2,7,0.67,9.3,6
8.6,0.11,2.3,12,0.48,9.9,5
8.3,0.1,2.6,45,0.53,10,5
10.8,0.45,3.3,20,0.54,9.6,5
13.3,0.58,1.9,15,0.49,9,5
8,0.23,2.2,16,0.49,10.2,6
8.5,0.31,2.25,32,0.54,9.8,5
8.1,0.23,2.6,5,0.56,11.3,5
9.8,0.32,2.3,35,0.48,9.4,5
8.1,0.23,2.6,5,0.56,11.3,5
7.1,0.18,1.8,13,0.6,9.1,5
9.1,0.23,3.1,13,0.59,9.7,5
7.7,0.04,1.6,4,0.47,9.4,5
8.1,0.48,1.8,5,1.05,9.4,5
7.4,0,4.25,5,0.54,10.7,3
9.2,0.24,2.6,12,0.54,9.8,5
8.6,0.51,2,16,1.17,9,5
9,0.32,2.8,21,0.62,9.4,5
9,0.31,2.7,24,0.61,9.4,5
5.1,0.02,1.3,18,0.62,12.8,6
7,0.02,2.1,8,0.67,9.5,6
7,0.02,2.1,8,0.67,9.5,6
9.4,0.28,3.2,18,0.53,9.7,5
11.8,0.55,2.1,5,0.62,10.8,6
10.6,0.43,2.9,26,0.57,10.1,6
7,0.02,2.1,8,0.67,9.5,6
7,0.02,2.1,9,0.67,9.4,6
7.5,0.48,2.6,22,0.7,9.6,4
9.1,0.04,1.6,4,0.54,9.7,4
8.4,0.15,6,11,0.49,9.9,5
7,0.08,2,10,0.47,10,5
7.4,0.19,3,16,0.51,10.5,5
7.8,0.12,2.5,11,0.61,11.6,6
9.7,0.47,1.6,13,0.66,10,6
10.6,0.43,2.8,21,0.57,10.1,5
8.9,0.34,3,16,0.61,9.5,5
8.7,0,3.2,13,0.45,9.4,5
8,0.36,2.3,10,0.46,9.4,5
9.9,0.28,2.6,21,0.51,9.8,5
7.2,0.18,2.7,13,0.48,9.2,6
8,0.36,2.3,10,0.46,9.4,5
7.6,0.11,2.6,12,0.57,10,5
8.4,0.04,2,10,0.44,9.6,5
7.1,0,3.9,17,0.54,9.5,5
8.4,0.04,2,10,0.44,9.6,5
8.9,0.24,2.85,35,0.53,9.2,5
7.6,0.08,2.7,15,0.59,10,5
7.1,0.3,2.2,36,1.62,9.5,5
7.5,0.1,3.1,5,0.6,11.2,4
9,0.17,3,5,0.55,10.4,5
8.1,0.09,2.8,18,0.72,11.1,6
6.4,0.02,1.8,4,0.68,9.5,5
6.4,0.02,1.8,4,0.68,9.5,5
6.4,0.03,3.2,27,0.49,12.7,6
9.5,0.66,2.3,12,0.67,9.6,5
8.9,0.13,3.45,4,0.52,11.5,5
7.3,0.03,2.1,10,0.47,9.6,5
7,0.34,2.7,16,0.6,9.5,5
7.7,0.2,2,9,0.62,9.3,5
7.7,0.1,2.1,11,0.5,9.5,5
7.7,0.1,2.1,11,0.5,9.5,5
8.2,0,2.5,19,0.65,9.3,6
9,0.23,2.8,28,0.56,9.2,5
9,0,2.4,19,0.6,9.3,5
8.3,0.29,4.2,12,0.68,11.5,6
9.2,0.24,2.6,28,0.57,9.5,5
6.5,0,1.9,9,0.65,9.2,5
11.6,0.58,2.8,25,0.53,10,5
11.1,0.54,2.7,21,0.51,9.5,5
7.3,0.18,2.1,12,0.73,9.5,6
8.2,0.38,2.5,12,0.47,9,6
8.6,0.4,2.6,16,0.48,9.4,5
7.2,0.18,2.1,12,0.72,9.6,6
7.3,0.18,2.1,12,0.73,9.5,6
8.3,0.1,2.9,17,0.55,9.5,5
8.3,0.1,2.9,17,0.55,9.5,5
7.6,0.13,2.5,24,0.61,9.4,5
8.3,0.1,2.9,17,0.55,9.5,5
7.8,0.68,1.7,14,1.06,9.1,6
7.8,0.07,1.9,22,0.43,10.7,6
6.3,0.01,2,15,0.46,11.2,6
8.1,0,2.2,10,0.5,9.8,5
8.1,0,2.2,10,0.5,9.8,5
8.8,0.21,2.5,33,0.52,9.2,5
9,0.25,2.8,9,0.57,9.7,5
9.3,0.26,2,5,0.42,9.6,5
8.8,0,1.7,8,0.53,10,6
9.3,0.26,2,5,0.42,9.6,5
9.1,0.11,2.8,11,0.55,9.5,6
9.2,0.1,3,12,0.54,9.5,6
8.8,0.18,2.9,12,0.54,9.4,5
7.5,0.32,2.7,13,0.62,9.5,5
7.1,0.02,2.3,24,0.53,9.7,6
7.9,0.01,1.9,7,0.54,9.6,5
7.1,0.02,2.3,24,0.53,9.7,6
9.4,0.26,2.4,23,0.55,9.4,5
9.5,0.27,2.3,23,0.55,9.4,5
7.9,0.29,1.8,1,0.92,9.5,6
7.9,0.3,1.8,2,0.91,9.5,6
7.2,0,3,7,0.46,10,5
6.9,0.18,2.4,5.5,0.6,10.3,6
6.9,0.17,2.4,6,0.59,10.3,6
8.3,0.3,3.4,7,0.61,10.5,5
7.1,0.03,2.6,21,0.6,9.8,5
7,0,2,12,0.6,9.4,6
6.5,0.14,2.4,9,0.65,9.8,5
9,0.05,2.4,26,0.53,10,5
6.5,0.14,2.4,9,0.65,9.8,5
7.1,0.01,2.5,20,0.59,9.8,5
9.9,0.41,2.3,11,0.5,9.5,5
9.9,0.41,2.3,11,0.5,9.5,5
10,0.24,2.2,19,0.56,10.1,6
10,0.24,2.2,19,0.56,10.1,6
8.6,0.17,2.9,21,0.52,9.3,5
7.4,0.43,2.6,18,0.68,9.7,6
8.8,0.17,2.9,25,0.54,9.6,5
7.1,0.02,2.5,17,0.6,9.7,6
7.7,0,2.6,7,0.56,10.8,5
10.1,0.54,2.3,7,0.53,12.5,6
10.8,0.3,2.6,7,1.18,10.2,5
8.7,0.31,2.5,24,0.74,9.6,5
9.3,0.44,1.6,21,0.81,10.8,7
9.4,0.34,3.6,5,0.52,10.7,6
9.4,0.34,3.6,5,0.52,10.7,6
7.2,0.08,4,26,0.51,9.4,5
8.6,0.09,3.3,8,0.44,10,5
5.1,0,1.7,14,0.94,12.9,7
7.7,0.08,2.5,14,0.66,9.6,6
8.4,0.22,2.7,4,0.57,9.9,6
8.2,0.4,2.4,4,0.7,12.8,7
8.4,0.39,2,4,0.71,12.5,7
8.2,0.4,2.4,4,0.7,12.8,7
7.4,0.12,1.9,4,0.86,9.2,5
7.6,0.31,2.8,4,0.55,10.3,6
7.3,0.1,2.6,4,0.47,10.5,5
12.9,0.55,2.8,7,0.68,10.9,6
10.8,0.33,2.5,20,0.71,10.8,5
6.9,0.24,2.1,4,0.58,11.4,4
12.6,0.54,2.8,19,0.76,11.3,6
10.8,0.33,2.5,20,0.71,10.8,5
9.8,0.19,3.2,8,0.58,10.5,6
10.8,0.42,1.6,19,0.73,11.9,6
7.1,0,2.35,21,0.45,9.4,5
9.1,0.15,3.2,9,0.54,9.6,5
7,0,1.9,9,0.6,9.7,5
4.9,0,2.1,16,0.74,14,7
6.7,0.13,2,15,0.64,9.8,5
6.7,0.13,2,15,0.64,9.8,5
7.1,0.28,2.8,6,0.53,10.3,5
7.1,0.14,2.8,15,0.49,10.7,5
7.5,0.34,2.3,4,0.64,11,7
7.1,0.14,2.8,15,0.49,10.7,5
7.8,0.09,2.3,34,0.74,12.7,8
5.9,0.08,2.1,16,0.77,11.1,6
7.5,0.07,2.5,5,0.55,10.9,4
5.9,0.08,2.1,16,0.77,11.1,6
10.4,0.42,1.5,34,0.86,9.9,3
11.6,0.44,1.6,36,0.86,9.9,4
8.8,0.26,1.6,16,0.47,9.4,5
7.6,0.1,1.5,27,0.51,9.3,5
6.7,0.28,2.4,36,0.39,11.7,7
6.7,0.28,2.4,36,0.39,11.7,7
10.1,0.35,1.6,9,0.83,11.2,7
6,0.04,2.2,13,0.47,10,5
11.1,0.47,2.65,9,0.77,12.1,7
6.6,0,3,21,0.63,10.3,5
10.6,0.45,2.6,34,0.72,10.9,6
7.1,0.35,2,9,0.62,9.4,5
9.9,0.46,1.7,26,0.83,10.6,6
6.4,0.21,1.8,14,0.66,9.8,5
6.4,0.21,1.8,14,0.66,9.8,5
7.4,0.16,1.8,12,0.7,9.9,6
6.4,0.21,1.8,14,0.66,9.8,5
6.4,0.21,1.6,12,0.66,9.8,5
9.3,0.44,1.9,9,0.55,9.5,5
9.3,0.44,1.9,9,0.55,9.5,5
8,0.32,2.5,26,1.07,9.7,5
9.3,0.39,1.5,41,0.73,10.9,6
9.3,0.39,1.5,41,0.73,10.9,6
7.6,0.02,2.5,10,0.71,11.7,7
9.3,0.39,1.5,41,0.73,10.9,6
8.2,0.34,2.5,16,0.78,11.3,7
11.7,0.47,1.7,17,0.67,10.6,7
6.8,0.22,1.8,15,0.82,11.2,6
7.2,0.06,2.7,15,0.54,9.5,5
5.8,0.66,2,15,0.6,11.5,6
7.5,0.32,2.7,7,0.44,10.4,5
7.2,0.06,2.5,17,0.53,9.7,5
7.2,0.06,2.7,15,0.54,9.5,5
7.2,0.07,2.6,16,0.54,9.7,5
6.8,0.22,2.3,13,0.83,11.3,6
6.9,0.23,2,13,0.84,11.2,6
6.8,0.22,1.8,15,0.82,11.2,6
7.6,0.03,2,27,0.64,10.9,6
7.7,0.01,2.1,31,0.57,11.8,6
6.9,0.03,1.5,36,0.57,10.6,5
7.3,0.24,2,28,0.54,10,4
9.1,0.37,1.6,6,0.58,11.1,7
10.4,0.46,2.1,6,0.65,11.8,7
8.8,0.4,2.8,7,0.79,11.8,7
7.1,0,2.2,7,0.58,10.9,4
7.7,0.01,2.1,31,0.57,11.8,6
8.8,0.19,4,30,0.5,10,6
7.2,0.04,2.5,18,0.55,9.5,5
9.2,0.18,1.6,10,0.49,9.9,5
7.6,0,2.1,30,0.65,11.4,6
8.4,0.29,3.1,14,0.78,12,6
7.2,0.04,2.5,18,0.55,9.5,5
8.8,0.19,4,30,0.5,10,6
8.9,0.14,2.5,9,0.64,10.5,5
9,0.12,2.4,8,0.65,10.4,6
10.7,0.38,2.6,29,0.79,12.1,7
6.8,0,2.5,32,0.56,11.2,6
10.7,0.34,6.6,23,0.68,9.3,5
7.2,0.24,2,30,0.58,10.1,5
7.2,0.03,2.3,16,0.57,9.7,5
10.1,0.23,1.9,10,0.65,9.3,6
7.2,0.03,2.3,16,0.57,9.7,5
7.2,0.03,2.2,17,0.58,9.8,6
7.1,0.01,2.3,27,0.58,10.7,6
8.3,0.39,2.4,17,0.77,12.5,7
7.1,0.01,2.3,27,0.58,10.7,6
8.3,0.39,2.4,17,0.77,12.5,7
8.3,0.02,3.4,6,0.49,11,3
8.9,0.36,2.6,10,0.69,11.8,5
7.4,0.1,2.4,16,0.69,10.8,7
7.4,0.1,2.4,16,0.69,10.8,7
6.8,0.06,6,11,0.59,10.8,7
6.8,0.06,6,11,0.59,10.8,7
9.2,0.2,3,15,0.59,9.5,5
7.2,0.27,2.6,12,0.71,11,5
6.1,0,2.2,6,0.54,11.5,6
7.4,0.13,2.4,34,0.59,10.8,6
7.3,0.39,1.2,7,0.52,11.5,6
9.3,0.48,3.8,3,0.57,13.2,6
9.1,0.46,9,3,0.6,10.9,6
10,0.44,2.9,4,0.62,12.2,6
9.4,0.46,4.6,3,0.64,12.2,7
7.3,0.39,1.2,7,0.52,11.5,6
8.6,0.4,2.2,3,0.67,11.9,6
5.3,0.19,1.5,7,0.61,11,5
6.8,0.31,8.8,26,0.64,10.1,6
8.4,0.32,2.2,32,0.72,11,6
8.4,0.12,1.8,38,0.89,11.8,6
9.6,0.37,2.3,10,0.56,10.5,5
8.4,0.32,2.2,32,0.72,11,6
8.4,0.12,1.8,38,0.89,11.8,6
6.8,0.31,8.8,26,0.64,10.1,6
8.6,0.27,2.3,14,0.8,11.2,5
8.6,0.36,1.9,53,0.87,11,7
9.4,0.33,2.3,52,0.9,10.2,6
8.4,0.19,2.2,11,0.59,9.2,4
8.6,0.27,2.3,14,0.8,11.2,5
8.7,0.38,3.3,10,0.73,12,7
6.6,0.01,1.9,8,0.73,10.5,5
7.4,0.01,2,13,0.65,9.8,5
7.6,0.29,1.9,29,0.59,9.5,6
7.4,0.01,2,13,0.65,9.8,5
6.6,0.01,1.9,8,0.73,10.5,5
8.8,0.38,2.3,19,0.72,11.8,6
8.8,0.38,2.3,19,0.72,11.8,6
12,0.5,1.4,6,0.6,10.4,4
7.2,0.38,2.8,23,0.72,12.9,7
6.2,0.17,1.6,7,0.54,11.4,5
9.6,0.52,2.2,13,0.76,12.4,7
9.9,0.49,5,9,0.52,12.5,7
10.1,0.4,2.6,13,0.64,10,7
9.8,0.34,2.3,10,0.6,9.7,7
8.3,0.49,3.8,11,0.64,12.1,7
10.2,0.42,2,7,0.79,11.1,7
10.2,0.58,4.1,11,0.99,12,7
8.3,0.48,2.1,6,0.62,12.4,7
8.9,0.45,1.8,10,0.76,11.9,7
8.9,0.45,1.8,10,0.76,11.9,7
8.9,0.45,1.8,10,0.76,11.9,7
8.3,0.48,2.1,6,0.62,12.4,7
8.2,0.4,2.2,6,0.68,11.2,7
10.2,0.48,2.1,5,0.69,12.1,7
7.6,0.4,2.7,6,0.54,12.2,6
8.5,0.52,1.9,9,0.67,10.4,5
9,0.52,2.1,5,0.62,11.3,6
9.5,0.52,2,12,0.58,11.1,6
6.4,0.12,2.3,25,0.71,11.3,7
8,0.05,2,12,0.61,10,5
8.5,0.27,1.9,18,0.85,11.1,6
7.1,0.14,1.6,7,0.62,9.3,5
6.6,0.02,2.1,6,0.69,9.5,5
8.8,0.39,2,20,0.69,11.2,6
8.5,0.27,1.9,18,0.85,11.1,6
8.3,0.4,2.4,24,0.86,11,6
9,0.41,2.4,6,0.58,11.9,7
8.5,0.2,2.1,23,0.48,9.2,5
9,0.43,2.4,29,0.6,12.2,6
6.7,0.09,2.9,7,0.61,10.2,5
10.4,0.48,1.9,6,0.87,10.9,6
10.4,0.48,1.9,6,0.87,10.9,6
10.1,0.5,2.4,6,0.65,11.6,7
8.5,0.44,1.7,6,0.63,10.7,5
8.8,0.41,5.9,7,0.62,12.1,7
7.2,0.3,2.1,35,0.52,9.4,5
7.2,0.3,2.1,35,0.52,9.4,5
8.4,0.29,2.6,31,0.5,9.1,5
7,0.32,3.6,9,0.49,11.3,7
12.2,0.49,1.4,3,0.63,10.4,5
9.1,0.3,1.9,8,0.71,10.5,6
9.5,0.26,1.9,13,0.62,10,5
7.3,0.32,2.1,51,0.82,12.9,6
9.1,0.3,1.9,8,0.71,10.5,6
12.2,0.49,1.4,3,0.63,10.4,5
7.4,0,2,7,0.58,11.3,6
9.8,0.39,1.4,3,0.55,11.4,7
7.1,0.3,1.6,35,0.5,9.4,5
7.7,0.12,1.7,19,0.49,9.4,5
9.7,0.4,1.5,14,0.51,10.9,6
7.7,0.12,1.7,19,0.49,9.4,5
7.1,0.28,2,31,0.48,9.4,5
6.5,0.1,2,30,0.48,9.4,6
7.1,0.28,2,31,0.48,9.4,5
10,0.45,2.5,20,0.43,9.4,5
7.7,0.06,2,19,0.62,10.1,6
5.6,0,2.2,3,0.63,12.8,7
5.6,0,2.2,3,0.63,12.8,7
8.9,0.34,1.4,4,0.48,9.1,6
6.4,0,1.65,7,0.53,12.9,6
7.5,0.3,2.2,6,0.72,11.5,7
9.9,0.38,1.5,31,0.82,10.6,7
9.1,0.33,2.05,13,0.84,11.7,7
6.8,0.32,1.8,4,0.55,12.8,7
8.2,0.29,1.6,27,0.54,10.3,5
6.8,0.32,1.8,4,0.55,12.8,7
9.1,0.33,2.05,13,0.84,11.7,7
9.1,0.34,2,12,0.84,11.7,7
8.9,0.4,3.6,12,0.7,12,7
9.6,0.36,2.8,26,0.68,10.9,5
8.9,0.45,1.7,7,0.55,12.3,7
8.9,0.31,2,12,0.55,10.4,6
7.7,0.15,2.1,11,0.48,10,5
7.5,0,1.6,22,0.58,10,6
8,0.16,2,3,0.58,11.2,6
10.5,0.46,2.2,14,0.84,11.4,6
8.9,0.4,2.2,12,0.75,12.6,7
8,0.37,0.9,36,0.44,12.7,6
8,0.37,0.9,36,0.44,12.7,6
7,0.14,1.8,10,0.61,10.4,5
11.3,0.66,2.4,3,0.53,11.9,6
11.3,0.66,2.4,3,0.53,11.9,6
7,0.09,2.1,4,0.54,10.5,5
8.2,0.42,2.3,3,0.55,12.3,6
7.7,0.01,1.8,12,0.56,10.5,7
8.6,0,2.8,17,0.6,10.4,6
7.9,0.32,1.9,14,0.56,12.6,6
6.4,0,2.2,28,0.52,11.6,5
7.2,0.21,2.5,41,0.54,10.1,6
7.7,0.01,1.8,12,0.56,10.5,7
7.1,0,2.1,9,0.55,11.5,7
7.3,0.01,1.8,9,0.58,11,7
8.1,0,4.1,5,0.53,9.6,5
7.5,0.08,2.6,14,0.59,10.4,6
8.9,0.18,2.5,15,0.47,9.7,6
10.1,0.34,2.4,5,0.65,10.6,7
7.6,0.34,2.5,26,0.59,12.5,7
7.3,0.1,1.8,20,0.56,9.2,5
8.7,0.41,6.2,25,0.77,12.6,7
8.9,0.21,2.2,21,0.83,11.1,6
7.4,0,2.2,16,0.67,10.2,5
6.9,0.19,1.7,13,0.64,9.8,6
8.9,0.21,2.2,21,0.83,11.1,6
9.5,0.41,8.9,18,0.81,10.9,7
6.4,0.33,3.3,12,0.62,12.2,6
6.9,0,1.4,32,0.58,11.4,6
7.6,0,1.7,33,0.62,10.7,6
7.1,0.17,1.8,27,0.64,10.4,5
9.3,0.36,1.7,3,0.78,10.9,6
9.3,0.36,1.8,6,0.77,10.8,6
7.1,0.17,1.8,27,0.64,10.4,5
8.5,0.59,1.4,16,1.34,9.2,5
5.6,0.05,2.4,19,0.55,12.9,5
8.3,0.42,2.3,9,0.77,12.7,7
8.2,0.27,2,5,0.62,9.1,6
8.2,0.27,2,5,0.62,9.1,6
8.9,0.53,4,3,0.59,12.1,7
7.6,0.25,3.9,28,0.57,9.1,5
9.9,0.57,2.4,30,0.76,11.6,7
8.9,0.53,4,3,0.59,12.1,7
11.6,0.57,1.8,3,0.7,9.9,6
9.1,0.5,1.8,7,0.69,12.5,8
8,0.44,1.9,6,0.64,11.4,6
10.2,0.65,2.4,6,0.63,11.8,6
