fixed acidity,citric acid,residual sugar,free sulfur dioxide,sulphates,alcohol,quality
8.2,0.09,2,5,0.57,11.8,6
7.7,0.18,2.4,6,0.6,10.2,6
6.6,0.08,2.4,13,0.72,12.5,7
11.1,0.53,2.2,3,0.83,10.9,7
11.1,0.53,2.2,3,0.83,10.9,7
8,0.35,2.8,28,0.62,10.8,5
9.3,0.45,1.5,19,0.89,11.1,7
7.5,0.2,8.1,30,0.58,9.2,5
7.2,0.26,1.8,33,0.58,9.5,6
8,0.33,2.7,16,0.58,10.7,6
7.5,0.2,8.1,30,0.58,9.2,5
9.1,0.34,2,45,0.86,10.2,7
9.9,0.56,2,3,0.73,11.4,6
8.6,0.65,6.4,3,0.58,11,5
8.6,0.65,6.4,3,0.58,11,5
7.9,0.68,8.3,37.5,0.51,12.3,7
10.3,0.56,1.4,3,0.51,11.8,6
7.9,0.68,8.3,37.5,0.51,12.3,7
7.2,0.3,1.8,31,0.59,9.5,6
8.7,0.45,2.4,32,0.77,12,6
7.2,0.3,1.8,31,0.59,9.5,6
6.8,0.08,1.8,40,0.49,9.6,5
8.5,0.4,4.7,3,0.66,11.6,7
7.9,0.42,1.6,18,0.69,11.2,6
11.6,0.54,1.5,22,0.76,9.9,7
11.6,0.54,1.5,22,0.76,9.9,7
10,0.54,1.9,42,0.63,11.8,8
7.9,0.42,2,8,0.6,11.4,6
7,0.09,2,10,0.59,11.5,6
9.2,0.36,2.2,11,0.86,12,7
6.6,0.09,5.5,9,0.49,10.8,6
9.4,0.47,2.5,6,0.5,10.5,5
6.6,0.09,5.5,9,0.49,10.8,6
8.6,0.38,1.5,5,0.52,9.4,5
8,0.45,2.1,5,0.81,12.5,7
8.6,0.38,1.5,5,0.52,9.4,5
8.4,0.42,2.1,23,0.78,12.4,6
7.4,0.27,2.1,14,0.63,12,6
6.1,0.09,1.7,18,0.54,11.2,6
7.4,0.27,2.1,14,0.63,12,6
8,0.34,2.2,16,0.66,12.4,6
6.3,0.28,2.1,13,0.6,12.8,5
8.2,0.42,1.9,9,0.54,12.3,6
9.1,0.41,2,10,0.85,11.7,7
8.1,0.1,3.3,4,0.49,9.5,5
10.8,0.43,2.1,27,0.76,10.8,6
8.3,0,1.4,6,0.64,10,6
5.4,0.27,2,23,0.64,12.3,7
7.9,0.41,1.5,6,0.71,11,6
8.9,0.39,1.6,3,0.59,9.5,6
5,0.5,4.3,29,0.66,13.6,6
7,0.07,2.5,15,0.6,11.3,6
7,0.07,2.5,15,0.6,11.3,6
7,0.07,2.5,15,0.6,11.3,6
7.1,0.12,2.1,14,0.53,13.3,6
5.6,0,2.5,7,0.58,12.9,5
7.9,0.34,2.5,8,0.72,13.1,8
6.6,0,1.8,21,0.55,12.3,6
6.3,0,1.4,27,0.48,12.3,6
10.7,0.37,1.9,17,0.65,11.2,6
6.5,0,2.2,3,0.62,11.5,4
8.8,0.35,1.7,13,0.59,11.3,7
5.8,0.26,1.7,3,0.54,13.5,6
6.3,0,2.9,26,0.6,11.5,6
10,0.33,2.7,28,0.68,10,5
10.5,0.35,3.3,24,0.69,10.5,6
9.1,0,1.9,5,0.63,10.4,6
5.9,0.21,1.7,57,0.44,9.5,5
7.4,0.34,1.8,18,0.88,13.6,7
7.2,0.07,5.5,10,0.68,11.2,7
8.5,0.35,1.7,6,0.74,11.8,7
8,0.43,1.7,22,0.6,11.9,6
10.4,0.45,2,6,0.76,11.4,6
10.4,0.45,2,6,0.76,11.4,6
7.5,0.15,3.7,29,0.58,9.1,5
8.2,0.24,2,16,0.64,9.5,6
7.3,0.3,1.7,33,0.65,9.5,6
8.2,0.32,2.5,24,0.85,11,6
6.9,0.11,2.4,6,0.65,11.4,6
7,0.3,1.8,16,0.82,10,6
7.3,0.23,2.3,35,0.62,10.1,5
8.2,0.43,2.5,31,0.81,10.4,6
7.8,0.12,1.8,6,0.87,9.8,6
10,0.45,6.2,6,0.49,11.8,7
7.8,0.42,2,9,0.66,11.6,6
10,0.47,2,6,0.52,12,6
8.2,0.32,2.8,4,0.76,12.8,7
6.1,0.23,2.5,16,0.65,12.5,6
8.3,0.25,2.2,9,0.53,9.8,5
9.6,0.35,2.1,17,0.66,11.1,6
6.6,0,2.2,50,0.68,11.4,6
8.3,0.25,2.2,9,0.53,9.8,5
8.5,0.51,1.75,45,0.76,11.8,7
5.1,0.18,2.1,16,0.87,12.9,7
6.7,0.43,2.8,22,1.16,10.6,6
10.2,0.43,2.2,11,0.67,10.8,5
10.6,0.57,2.3,6,0.72,11.1,7
8.8,0.43,1.4,12,0.75,10.2,6
8.5,0.42,2.3,12,0.71,11.8,7
9,0.24,1.7,10,0.67,10,5
9,0.24,1.7,10,0.67,10,5
8.5,0.5,1.9,15,1.1,9.4,5
9.9,0.26,2,7,0.98,10.2,5
8.2,0.39,2.5,29,0.88,12.4,7
6.5,0.27,2.8,8,0.56,12,6
7.6,0.29,2.3,5,0.62,11.5,6
9.2,0.34,1.6,5,0.67,10.5,6
7.1,0,2.2,26,0.68,10.8,6
9.7,0.46,2.1,5,0.74,12.3,6
7.6,0.31,1.7,26,0.62,9.5,6
7.6,0.31,1.7,26,0.62,9.5,6
6.5,0,2.2,48,0.7,11.5,6
6.5,0.03,5.6,23,0.5,11.2,4
7.1,0,2.4,6,0.66,12.7,7
5.6,0,2.1,17,0.73,11.4,5
8.2,0.33,2.4,11,0.81,11,6
8.2,0.33,2.4,11,0.81,11,6
9.8,0.43,1.65,5,0.46,11.4,5
10.2,0.4,2.5,41,0.86,10.5,6
6.8,0.07,1.6,16,0.6,9.3,5
6.7,0.23,2.1,11,0.7,10.9,5
7,0.3,2,6,0.46,11.9,6
6.6,0.03,7.8,6,0.5,12.2,5
7,0.3,2,6,0.46,11.9,6
6.7,0.23,2.1,11,0.7,10.9,5
8.8,0.05,1.8,5,0.44,9.6,4
9.1,0.57,4.6,6,0.57,12.5,6
6.5,0,2.3,6,0.51,10.8,5
7.2,0.37,2.5,11,0.8,12.4,7
6.4,0,2.3,6,0.51,10.8,5
7,0.12,1.8,15,0.59,9.5,6
6.2,0.22,1.8,21,0.6,9.5,6
7.9,0.23,2.3,23,0.58,9.5,6
7.7,0.21,1.5,4,0.54,9.8,6
7.7,0.26,2,19,0.79,10.9,6
7.9,0.23,2.3,23,0.58,9.5,6
7.7,0.21,1.5,4,0.54,9.8,6
7.9,0.36,1.9,5,0.54,11.2,7
8.6,0.39,1.8,6,0.69,11.7,8
9.9,0.19,5.8,33,0.55,9.4,5
7.2,0.46,2.1,24,0.85,11,7
7.2,0.46,2.1,24,0.85,11,7
7.2,0.46,2.1,24,0.85,11,7
9.9,0.55,1.7,24,0.94,10,5
7.2,0.46,2.1,24,0.85,11,7
6.2,0.43,2,14,0.87,11.2,7
6.8,0.02,2.1,8,0.62,10.4,6
6.6,0.15,2.1,22,0.62,9.3,5
6.8,0.02,2.1,8,0.62,10.4,6
9.6,0.42,1.9,5,0.75,10.5,6
10.2,0.46,1.9,6,0.48,10.4,6
8.8,0.46,2.1,20,0.56,11.3,6
7.9,0.31,2,10,0.69,9.5,6
8.2,0.37,1.9,43,0.81,12,6
8.2,0.31,1.9,8,0.69,10.6,6
9,0.4,1.3,25,0.83,10.9,6
10.9,0.52,1.8,17,0.77,11.5,6
10.9,0.52,1.8,17,0.77,11.5,6
8.1,0.22,2.2,33,0.46,9.6,6
10.5,0.47,2.2,9,0.76,12,6
12.6,0.49,2.5,8,0.82,10.3,6
9.2,0.23,2.6,18,0.51,9.4,5
7.5,0.03,4.1,27,0.47,9.2,5
9,0.25,2,8,0.72,9.6,5
5.1,0,1.8,18,0.73,13.6,7
7.6,0.29,2.1,19,0.64,9.5,5
7.7,0.34,2.7,15,0.78,11.8,6
7.8,0.01,2.6,48,0.62,10.8,5
7.6,0.29,2.1,19,0.64,9.5,5
10.2,0.37,2.2,14,0.49,9.3,4
7.1,0.01,2.2,11,0.4,12.8,6
6,0.32,12.9,6,0.56,11.5,4
7.8,0,1.7,7,0.64,9.4,6
7.1,0.01,2.2,11,0.4,12.8,6
8.1,0,2.5,12,0.46,9.6,4
6.5,0,4.3,11,0.56,11.8,4
7.5,0.2,1.7,36,0.4,9.3,5
9.8,0.39,2.5,28,0.59,9.8,5
9,0.41,2,15,0.6,12.2,6
8.3,0.22,2.4,10,0.62,9.5,5
5.9,0.25,13.4,72,0.54,10.3,6
7.4,0.19,1.8,15,0.68,10.5,5
7.4,0.07,1.7,15,0.48,10,5
7.4,0.19,1.8,15,0.68,10.5,5
6.9,0.33,2.2,22,0.75,11.1,6
7.1,0.01,2.3,24,0.61,10.9,6
7.1,0.01,2.3,24,0.61,10.9,6
7.5,0.14,2.2,27,0.59,9.8,5
7.1,0,1.8,6,0.58,9.8,5
7.9,0,1.4,6,0.58,9.5,5
7.8,0.06,1.9,20,0.69,10.9,5
6.1,0.02,2.4,26,0.45,11,5
7.5,0.22,1.8,43,0.42,9.2,5
7,0.28,4.8,12,0.7,11,6
6.8,0,2.7,15,0.63,11.3,6
6.8,0,2.7,15,0.63,11.3,6
8.6,0.68,1.8,19,1.15,9.3,5
6.3,0,2,17,0.55,11.2,4
9.8,0.38,2.5,34,0.58,9.8,5
8.2,0,2.2,13,0.46,9.6,4
8.5,0.32,1.8,26,0.72,11.8,6
7.2,0.05,2.3,16,0.6,10.3,6
7.2,0.05,2.3,16,0.6,10.3,6
10.4,0.5,2.3,13,0.87,11.4,6
6.9,0.31,2,21,0.55,9.5,6
5.5,0.03,1.8,28,0.82,14,8
5,0.01,1.6,26,0.75,14,6
7.3,0.2,1.6,24,0.57,11.7,6
5.9,0,1.9,25,0.53,11.2,5
7.5,0.2,2,34,0.43,9.3,5
7.8,0.13,2.1,17,0.53,11.2,6
8,0.22,2.3,13,0.54,9.5,6
8.5,0.4,6.3,3,0.56,12,4
7,0,1.9,3,0.6,9.7,6
8,0.22,2.3,13,0.54,9.5,6
9.8,0.39,1.7,3,0.57,11.5,7
7.1,0.2,1.9,28,0.64,10.4,6
7.1,0.2,1.9,28,0.64,10.4,6
7.9,0,2,9,0.68,10.9,6
8.7,0.28,2.7,17,0.63,10.2,6
7,0.19,2.3,18,0.56,10.9,5
11.3,0.5,1.8,20,0.57,10.5,5
7.1,0.44,2.5,17,0.54,12.4,6
8,0.08,2.6,3,0.37,13,5
7,0.3,4.5,20,1.17,10.2,5
7,0.3,4.5,20,1.17,10.2,5
7.6,0,1.9,6,0.59,11,5
8.2,0.1,2.1,25,0.75,10.9,6
5.9,0.13,2.4,14,0.67,12.4,6
7.5,0,1.9,6,0.49,9.7,4
8.2,0.1,2.1,25,0.75,10.9,6
6.6,0,4.3,51,0.45,9.5,5
6.6,0,4.3,51,0.45,9.5,5
7.2,0.14,2.1,15,0.61,12.1,6
5.7,0,1.4,11,0.56,12.2,6
7.6,0,2.1,5,0.4,10.9,3
5.2,0,2.15,15,0.61,12.5,6
6.7,0.07,2,20,0.74,11.7,6
9.1,0.32,2.1,4,0.8,11.2,6
8,0.44,1.8,28,0.66,11.2,5
7.6,0.21,2.3,21,0.44,9.2,5
7.5,0.26,1.9,24,0.53,9.8,5
9.7,0.32,2.5,22,0.62,10.1,5
6.8,0.09,3.9,15,0.52,11.1,4
9.7,0.32,2.5,22,0.62,10.1,5
7,0.1,1.4,27,0.61,9.2,5
7.5,0.26,1.9,24,0.53,9.8,5
6.5,0.15,3,12,0.59,12.8,6
8,0.21,1.9,14,0.47,10.5,5
7,0.21,2.3,20,0.54,10.1,6
7,0.21,2.4,24,0.53,10.1,6
7.5,0.27,2,17,0.58,9.8,6
5.4,0,1.2,16,0.59,12.5,6
9.9,0.46,2.2,10,0.69,11.9,6
7.5,0.27,2,17,0.58,9.8,6
9.1,0.68,1.7,18,1.33,9.1,6
9.7,0.34,2.6,12,0.66,10.1,5
5,0,1.2,16,0.59,12.5,6
9.1,0.42,1.8,9,0.55,11.4,5
9.1,0.39,1.8,21,0.82,11,7
6.7,0.24,1.7,18,0.6,10.6,6
6.7,0.24,1.7,18,0.6,10.6,6
6.7,0.24,1.7,18,0.6,10.6,6
6.7,0.24,1.7,18,0.6,10.6,6
6.5,0.11,1.8,13,0.52,9.3,5
7.4,0.26,2.1,17,0.56,9.8,6
7.4,0.26,2.1,17,0.56,9.8,6
7.8,0.26,3.8,31,0.46,9.2,5
8.4,0.1,1.7,6,0.43,9.7,6
9.1,0.22,2.2,12,0.51,9.6,5
7.2,0,2,4,0.52,10,5
6.6,0.02,2.4,19,0.66,12.6,6
6,0,1.4,15,0.45,9.5,5
6,0,1.4,15,0.45,9.5,5
6,0,1.4,15,0.45,9.5,5
7.5,0.02,1.7,13,0.54,10.5,6
7.5,0.02,1.7,13,0.54,10.5,6
7.5,0.02,1.7,13,0.54,10.5,6
7.6,0.02,1.7,17,0.51,10.4,6
7.5,0.02,1.7,13,0.54,10.5,6
11.5,0.48,2.6,8,0.53,11,5
8.2,0.24,2.3,10,0.53,10.2,6
6.1,0.01,2.1,5,0.56,11.4,5
7.2,0.03,1.8,7,0.39,9.5,5
7.2,0.03,1.8,7,0.39,9.5,5
6.9,0,2.8,21,0.52,10.8,5
9,0.29,2,32,0.57,10,5
7.2,0.01,2.3,8,0.51,11.8,6
7.6,0.03,1.9,14,0.46,10.3,5
7.6,0.03,1.9,14,0.46,10.3,5
7.2,0.03,2.3,7,0.52,10,5
6.1,0.25,1.8,5,0.44,10.1,5
6.1,0.25,1.8,4,0.44,10.1,5
7.3,0.24,2.5,27,0.59,11.1,6
7.4,0.17,5.4,52,0.5,9.5,5
11.6,0.4,1.4,6,0.65,10.03333333,6
9.2,0.31,2.3,11,0.56,10.9,5
8.3,0.14,2.5,13,0.54,10.1,5
11.6,0.4,1.4,6,0.65,10.03333333,6
8,0.27,2,11,0.48,9.8,4
7.2,0.02,1.9,10,0.53,11.8,6
7.8,0.09,2.2,10,0.62,9.5,5
7.3,0.08,1.7,10,0.5,9.8,5
6.9,0.3,2.2,9,1.18,10.5,6
8,0.32,2.1,16,0.5,9.8,6
6.6,0,1.6,4,0.37,10.4,4
8.7,0.51,1.7,12,1.17,9.2,5
7.5,0.56,3.1,5,1.03,11.6,6
8.7,0.51,1.7,12,1.17,9.2,5
7.7,0.27,3.8,34,0.45,9.3,5
6.8,0,1.2,16,0.51,9.8,3
7.2,0.26,2,13,0.52,9.9,5
8.2,0.2,1.4,7,0.46,10,5
5.2,0.26,2.3,23,0.62,12.2,6
7.2,0.15,2,10,0.51,9.9,6
7.5,0.02,2.6,11,0.62,10.8,6
7.5,0.02,2.6,11,0.62,10.8,6
6.8,0.09,1.8,4,0.45,9.6,5
8,0.22,2.1,25,0.49,9.9,5
8,0.22,2.1,25,0.49,9.9,5
7.1,0.15,1.8,20,0.5,9.5,5
8,0.25,3.4,34,0.42,9.2,5
7.4,0.07,1.8,8,0.58,9.6,5
7.4,0.07,1.8,8,0.58,9.6,5
6.6,0.31,6.1,7,0.68,10.3,5
6.7,0.02,2.2,36,0.53,9.7,5
6,0,2.3,15,0.59,12.5,6
8,0.22,2.4,5,0.58,11,5
7.1,0.06,1.3,5,0.48,9.8,5
8,0.25,2,19,0.48,10.2,5
6.4,0.14,3.9,27,0.48,9.2,5
8.6,0.1,1.6,3,0.65,9.55,6
8.7,0.1,1.6,4,0.65,9.55,5
7.3,0.26,2,17,0.52,9.9,5
7,0.12,2.2,13,0.62,10.2,7
7.2,0,2.2,10,0.72,11.1,6
7.9,0.21,2.1,33,0.51,9.9,5
7.9,0.21,2.1,33,0.51,9.9,5
7.6,0.42,2,6,0.82,11.9,6
7.2,0.33,1.7,3,1.1,10,8
8,0.39,2.6,12,0.62,10.7,6
7.7,0.3,2,18,0.9,11.3,7
8.2,0.34,5.1,8,0.94,10.9,6
6,0,2.1,40,0.93,10.7,6
8.1,0.36,2.2,35,1.01,12.4,7
6,0,2.1,40,0.93,10.7,6
6.6,0,1.8,5,0.44,11.9,6
6.4,0.4,2.4,8,0.73,10.6,6
8.2,0.34,5.1,8,0.94,10.9,6
9.9,0.25,2,12,0.9,10.1,5
10,0.59,2.2,3,0.78,9.6,5
6.2,0,1.6,8,0.84,9.4,5
10,0.59,2.2,3,0.78,9.6,5
7.3,0.33,2.5,21,0.77,12.1,7
7.8,0.01,1.6,3,0.46,9.8,5
7.7,0.21,2.2,32,0.45,9.9,5
7.8,0.01,1.6,3,0.46,9.8,5
7.5,0.18,1.6,24,0.58,9.4,5
7,0,2.1,39,0.84,11.4,6
6.4,0.09,3.9,14,0.67,11,4
8.3,0.37,1.4,8,0.7,9.6,6
8.3,0.37,1.4,8,0.7,9.6,6
7.7,0.37,1.8,23,0.71,12.1,6
7.6,0.33,2.5,6,0.58,11.2,5
7.8,0,1.9,27,0.63,11,5
7.9,0.4,2.2,38,0.93,11.3,5
7.4,0.24,1.8,18,0.62,10.4,5
7.6,0.31,2.1,13,0.54,9.9,6
5.9,0,1.6,3,0.85,11.7,6
6.1,0.16,1.8,11,0.74,10.1,7
10.2,0.37,15.4,55,0.77,9,6
10.2,0.37,15.4,55,0.77,9,6
10,0.38,1.6,27,0.65,8.5,5
6.8,0.29,4.8,15,0.54,11.1,5
7,0,1.7,3,0.47,10.3,5
7.3,0.02,2.2,31,0.68,11.06666667,6
7.2,0.32,2,15,0.73,11.3,7
7.4,0.19,5.2,19,0.52,9.566666667,6
6.9,0.02,1.9,18,0.75,9.8,5
6.9,0.2,1.75,8,0.49,11.7,5
7.3,0.02,2.2,31,0.68,11.1,6
7.4,0.19,5.2,19,0.52,9.6,6
6.9,0.02,1.9,18,0.75,9.8,5
6.8,0,1.9,22,0.74,9.7,5
6.9,0.01,1.9,40,0.73,9.7,5
7.2,0.31,2,15,0.76,11.3,8
7.2,0.32,2,15,0.73,11.3,7
7.8,0.44,2.7,8,0.78,11,7
6.6,0.02,2,37,0.76,11.6,7
7.6,0.33,1.9,27,0.58,9,5
11.7,0.63,2.2,7,0.69,10.9,6
6.5,0,1.6,9,0.63,10.9,6
6,0.06,1.8,38,0.5,10.55,6
7.6,0.33,1.9,27,0.58,9,5
8.4,0.4,1.7,8,0.6,10.5,5
7.9,0.35,1.7,7,0.8,11.9,7
6.4,0.09,2.3,34,0.68,10.4,6
6.2,0,2.1,6,0.61,10,4
6.8,0.03,2.3,14,0.58,10.4,6
6.9,0.01,2.4,14,0.53,10.8,6
6.8,0.1,1.7,34,0.67,9.7,5
6.8,0.1,1.7,34,0.67,9.7,5
7.3,0.32,2.1,31,0.65,10,7
6.7,0.08,2.3,19,0.57,11,4
7.3,0.32,2.1,31,0.65,10,7
7.3,0.05,2.1,20,0.55,9.7,3
10,0.11,1.4,8,0.47,9.7,5
6.7,0.08,3.75,8,0.52,12.6,5
7.6,0.6,2.6,23,0.79,11.1,6
6.1,0.08,1.8,14,0.54,11,5
9.9,0.5,13.8,48,0.75,8.8,5
5.3,0.11,2.2,16,0.88,13.56666667,7
9.9,0.5,13.8,48,0.75,8.8,5
5.3,0.11,2.2,16,0.88,13.6,7
7.1,0.05,5.7,3,0.52,10.2,3
8.2,0.6,3,10,0.68,10.6,5
5.6,0.03,1.5,6,0.62,10.1,4
8.2,0.6,3,10,0.68,10.6,5
7.2,0.54,2.1,3,0.57,10.3,4
8.1,0.44,1.5,6,0.61,10.7,5
6.8,0.06,2,4,0.64,10.9,4
7,0.16,2.1,8,0.55,9.7,5
6.8,0.21,2.1,9,0.6,10.3,5
6,0.05,1.9,9,0.78,10.6,5
5.6,0.04,1.7,5,0.58,11.4,5
6.2,0.1,2.1,4,0.76,10.8,6
7.1,0.49,1.8,8,0.56,12.4,6
5.6,0.04,1.7,5,0.58,11.4,5
6.2,0.06,1.6,6,0.54,11.95,5
7.7,0.26,1.9,23,0.59,9.7,5
6.4,0.09,1.4,15,0.7,10,7
7,0.02,1.9,15,0.81,10.6,6
7.7,0.26,1.9,23,0.59,9.7,5
6.9,0.03,2.3,7,0.63,11.5,6
6.6,0.04,2.3,7,0.58,10.8,6
6.9,0.03,2.3,7,0.63,11.5,6
7.5,0.04,1.5,8,0.53,9.6,5
7.8,0.29,4.3,21,0.53,9.4,5
7.3,0.18,2.4,15,0.54,9.8,5
6.2,0.39,2.5,6,0.69,11,6
7.5,0.57,2.3,5,0.55,11.4,6
6.7,0.02,1.8,6,0.63,9.95,3
6.8,0.05,2,6,0.66,10.8,6
7.5,0.57,2.3,5,0.55,11.4,6
7.1,0.6,2.1,17,0.72,10.6,6
7.9,0.4,1.8,7,0.7,11.1,5
6.4,0.21,2.2,26,0.77,9.7,6
7.1,0.04,2.1,19,0.67,9.8,5
6.4,0.04,2.2,11,0.65,10.4,6
6.4,0.15,1.8,17,0.6,10.5,6
6.9,0.21,4.1,16,0.72,9.233333333,6
6.9,0.21,4.1,16,0.72,9.25,6
6.1,0.25,2.3,23,0.97,10.6,5
6.5,0.06,2,29,0.83,10.3,6
7.4,0.46,2.2,7,0.63,10.5,5
6.6,0.08,2.6,14,0.58,10.2,5
6.5,0.06,2,29,0.83,10.3,6
6.9,0.2,1.9,9,0.43,9.05,4
6.1,0.25,2.3,23,0.97,10.6,5
6.8,0.25,2,29,0.6,10.4,5
6,0.19,2,22,0.78,10,6
6.7,0.08,2.1,18,0.64,9.7,5
6.8,0.08,2.2,18,0.65,9.6,6
7.1,0.07,1.7,15,0.66,10.8,6
7.9,0.49,2.2,21,0.67,10.1,6
7.1,0.08,2.1,42,0.6,10.2,6
6.6,0.09,2.2,9,0.69,11.3,6
6.1,0.1,2.8,13,0.66,10.2,5
7.2,0.13,2,18,0.68,9.9,6
8,0.3,1.9,32,0.61,9,5
6.6,0.14,2.4,13,0.62,11.7,7
7,0.13,2.2,15,0.59,9.7,6
6.1,0.08,1.9,24,0.68,10.3,6
5.4,0.08,1.9,20,0.64,10.2,6
6.2,0.09,2.5,15,0.63,12,5
7.2,0.32,1.8,34,0.78,9.9,5
6.2,0.08,4.4,11,0.63,11.6,6
7.4,0.29,2.2,19,0.76,10.9,7
6.7,0.02,1.9,29,0.56,10.75,6
11.1,0.42,2.2,14,0.57,10.4,6
8.4,0.43,2.3,12,0.81,11.2,7
6.5,0.33,1.8,16,0.64,10.1,6
7,0.02,2,17,0.61,10.2,5
6.3,0.1,1.6,12,0.51,12.1,5
11.2,0.5,2,19,0.58,10.4,5
7.4,0.3,1.8,17,0.7,11.4,8
7.1,0,2.3,17,0.53,9.5,5
7.1,0,2.3,18,0.54,9.4,5
6.3,0.01,3.7,32,0.66,11.3,6
7.3,0,2.2,18,0.6,9.4,5
6.6,0.02,2.4,15,0.6,11,6
7,0.17,1.7,15,0.68,10.55,7
6.6,0.04,2.2,12,0.56,9.9,5
6.6,0.02,2.4,15,0.6,11,6
6.9,0.33,6.7,66,0.56,9.5,5
7.8,0.26,2,31,0.52,9.9,5
7.8,0.26,2,31,0.52,9.9,5
7.8,0.26,2,31,0.52,9.9,5
7.2,0.13,2,12,0.54,10.1,5
7.2,0.13,2,12,0.54,10.1,5
7.2,0.13,2,12,0.54,10.1,5
6.7,0.02,1.9,26,0.82,10.9,6
6.7,0.64,2.1,24,0.71,11.2,6
7.2,0.13,2,12,0.54,10.1,5
7,0.13,1.6,25,0.59,9.2,5
6.2,0.14,1.9,15,0.57,11.5,6
6.4,0.53,2.2,19,0.93,12.4,6
6.4,0.14,2.2,15,0.65,11.1,6
7.3,0.32,2.2,35,0.51,9.5,5
6,0.2,2.4,15,0.67,12.5,6
5.6,0.78,13.9,23,0.48,10.5,6
7.5,0.4,2.2,12,0.64,11.8,6
8,0.63,1.6,16,0.78,10.8,6
6.2,0.15,5.1,13,0.6,11.9,6
6.8,0.15,1.8,13,0.67,11.3,6
6.2,0.09,1.7,24,0.6,11.3,5
7.4,0.33,2.4,9,0.6,11.9,6
6.2,0.09,1.7,24,0.6,11.3,5
6.1,0.1,2.6,13,0.5,11.9,5
6.2,0.29,2.1,32,0.62,9.8,5
6.7,0.44,2.4,24,0.8,11.6,7
7.2,0.44,2.6,22,0.84,11.5,6
7.5,0.41,2.4,34,0.85,11.4,6
5.8,0.11,1.8,18,0.66,10.9,6
7.2,0.33,2.5,34,0.78,12.8,6
6.6,0.2,7.8,29,0.54,9.2,5
6.3,0.15,1.8,26,0.82,11.6,6
5.4,0.09,1.7,16,0.56,11.6,6
6.3,0.13,2.3,29,0.75,11,6
6.8,0.08,1.9,28,0.82,9.5,6
6.2,0.08,2,32,0.58,10.5,5
5.9,0.1,2.2,39,0.76,11.2,6
6.3,0.13,2.3,29,0.75,11,6
5.9,0.12,2,32,0.71,10.2,5
6,0.47,3.6,18,0.66,11,6
